train/value_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_loss,time/iterations,train/learning_rate,train/entropy_loss
5.639200026053004e-06,0.7916666865348816,20,-0.2915031909942627,9099,936.2291666666666,2176,45500,-0.004329160321503878,9100,0.0007,-2.2077062129974365
2.740385571087245e-05,0.795918345451355,20,-1.4106471538543701,9199,931.6938775510204,2206,46000,-0.011020583100616932,9200,0.0007,-2.117429733276367
2.3976986085472163e-06,0.800000011920929,20,-29.375932693481445,9299,926.52,2233,46500,0.00039728745468892157,9300,0.0007,-2.1064181327819824
0.0005283075151965022,0.8039215803146362,20,0.06630557775497437,9399,921.3921568627451,2262,47000,-0.026265989989042282,9400,0.0007,-2.0735461711883545
3.225754699087702e-05,0.807692289352417,20,-397.3520202636719,9499,912.0576923076923,2292,47500,-0.007961800321936607,9500,0.0007,-1.9909664392471313
4.2066425521625206e-05,0.8301886916160583,20,-2.657604932785034,9599,904.2641509433962,2322,48000,-0.01065149437636137,9600,0.0007,-1.9242759943008423
0.0018009167397394776,0.8148148059844971,20,-233.26589965820312,9699,893.2777777777778,2353,48500,-0.06908054649829865,9700,0.0007,-2.2008469104766846
6.936826594028389e-06,0.8181818127632141,20,-5.678505897521973,9799,887.4909090909091,2383,49000,-0.0042014773935079575,9800,0.0007,-2.0081496238708496
0.00010680979175958782,0.8214285969734192,20,-5.728950023651123,9899,881.5714285714286,2414,49500,0.022476468235254288,9900,0.0007,-2.1273744106292725
2.912378931796411e-06,0.8245614171028137,20,-6.8187150955200195,9999,875.859649122807,2444,50000,0.0015396696981042624,10000,0.0007,-2.007537841796875
